context,model,seed,prob_kind,bin,n,mean_pred,observed_rate,p_min,p_max
in_domain,logreg,0,raw,1,2697,0.04796787743898076,0.06599925843529848,0.00026529651156768995,0.06849613604701305
in_domain,logreg,0,raw,2,2696,0.08056264042023906,0.07863501483679525,0.06851432873570996,0.09163814249245637
in_domain,logreg,0,raw,3,2696,0.10120130385127883,0.10608308605341246,0.09163949826701849,0.11033774486504025
in_domain,logreg,0,raw,4,2696,0.11937524206272959,0.125,0.11033790130689299,0.1281755257331226
in_domain,logreg,0,raw,5,2696,0.13686848130642984,0.13724035608308605,0.12817992984686832,0.14591197900752922
in_domain,logreg,0,raw,6,2696,0.15529525474009614,0.17359050445103857,0.14591220296398427,0.1648393774965846
in_domain,logreg,0,raw,7,2696,0.1752896546001494,0.17210682492581603,0.1648405173639092,0.1865279764717755
in_domain,logreg,0,raw,8,2696,0.20006454305249813,0.2062314540059347,0.1865425611501561,0.21423262492311257
in_domain,logreg,0,raw,9,2696,0.23360251269972795,0.21847181008902078,0.21424169542161717,0.257139432225598
in_domain,logreg,0,raw,10,2696,0.3080673054467406,0.2763353115727003,0.25714034687876136,0.6034918960454801
in_domain,logreg,0,recal,1,2697,0.04801862011472656,0.06599925843529848,0.0002655926515388908,0.06856737185776375
in_domain,logreg,0,recal,2,2696,0.08064528915303312,0.07863501483679525,0.0685855820737274,0.09173107584060412
in_domain,logreg,0,recal,3,2696,0.10130282048530038,0.10608308605341246,0.09173243285125292,0.11044733630139598
in_domain,logreg,0,recal,4,2696,0.1194925750622203,0.125,0.11044749287934226,0.12830027926952162
in_domain,logreg,0,recal,5,2696,0.13700033816377272,0.13724035608308605,0.1283046870389607,0.14605110352806724
in_domain,logreg,0,recal,6,2696,0.15544166505307144,0.17359050445103857,0.14605132766154522,0.16499306264491231
in_domain,logreg,0,recal,7,2696,0.1754509933834871,0.17210682492581603,0.16499420336501863,0.18669736227614905
in_domain,logreg,0,recal,8,2696,0.20024312572135938,0.2062314540059347,0.18671195715895578,0.21442053781716797
in_domain,logreg,0,recal,9,2696,0.23380218921947435,0.21847181008902078,0.21442961410064193,0.25735265430036686
in_domain,logreg,0,recal,10,2696,0.30830267153269497,0.2763353115727003,0.25735356944921794,0.6037588963878826
in_domain,hgb,0,raw,1,2697,0.059484184788024,0.05005561735261402,0.022998243711362523,0.07706745968399237
