comparison,feature,category,count_A,count_B,prevalence_A,prevalence_B,default_rate_A,default_rate_B,base_rate_A,base_rate_B,risk_diff_A,risk_diff_B,delta_abs_risk_difference,rare_flag
temporal,emp_length,3 years,10095,23811,0.07488650188421708,0.08125040521127289,0.1510648836057454,0.23560539246566714,0.15595976380522833,0.23281818895300233,-0.0048948801994829205,0.0027872035126648154,0.007682083712147736,False
temporal,emp_length,10+ years,45799,99049,0.3397451114210261,0.33798544310492495,0.15063647677896896,0.21672101687043788,0.15595976380522833,0.23281818895300233,-0.005323287026259366,-0.016097172082564448,0.010773885056305083,False
temporal,emp_length,5 years,9727,18009,0.07215661256342541,0.0614522089559369,0.15287344504986122,0.23160641901271586,0.15595976380522833,0.23281818895300233,-0.0030863187553671068,-0.0012117699402864612,0.0018745488150806455,False
temporal,emp_length,4 years,6884,17469,0.05106673392480935,0.05960956400973189,0.15281812899477049,0.23063712862785507,0.15595976380522833,0.23281818895300233,-0.003141634810457844,-0.002181060325147255,0.0009605744853105891,False
temporal,emp_length,6 years,8175,12513,0.060643601080086644,0.042698178170117077,0.16293577981651375,0.22328778070806363,0.15595976380522833,0.23281818895300233,0.006976016011285419,-0.009530408244938698,0.016506424256224117,False
temporal,emp_length,1 year,7782,20089,0.057728257321741194,0.0685498043042821,0.1508609611924955,0.2435163522325651,0.15595976380522833,0.23281818895300233,-0.005098802612732822,0.010698163279562772,0.015796965892295595,False
temporal,emp_length,2 years,11239,27248,0.08337289694667814,0.09297849906332216,0.1536613577720438,0.2341823253082795,0.15595976380522833,0.23281818895300233,-0.0022984060331845413,0.0013641363552771846,0.003662542388461726,False
temporal,emp_length,7 years,8173,9584,0.06062876472508234,0.0327035354896829,0.15698030099106816,0.22975792988313856,0.15595976380522833,0.23281818895300233,0.0010205371858398316,-0.0030602590698637633,0.004080796255703595,False
temporal,emp_length,9 years,5218,11448,0.038708050206225336,0.03906407285954609,0.16462246071291683,0.22685185185185186,0.15595976380522833,0.23281818895300233,0.008662696907688505,-0.005966337101150465,0.01462903400883897,False
temporal,emp_length,8 years,6667,12825,0.049456989406842525,0.043762817472368855,0.15884205789710515,0.2253411306042885,0.15595976380522833,0.23281818895300233,0.002882294091876819,-0.0074770583487138165,0.010359352440590636,False
temporal,emp_length,< 1 year,9083,22170,0.06737930625204,0.07565081195808324,0.1589783111306837,0.2365358592692828,0.15595976380522833,0.23281818895300233,0.0030185473254553674,0.0037176703162804803,0.0006991229908251129,False
temporal,emp_length,NI,5962,18842,0.04422717426782588,0.06429465940073091,0.19842334786984234,0.31594310582740687,0.15595976380522833,0.23281818895300233,0.04246358406461401,0.08312491687440454,0.040661332809790535,False
temporal,purpose,debt_consolidation,80634,169291,0.5981573247084656,0.5776726029407249,0.1636406478656646,0.24601425947037941,0.15595976380522833,0.23281818895300233,0.007680884060436266,0.01319607051737709,0.005515186456940824,False
temporal,purpose,other,5842,18912,0.043336992967567725,0.06453352078264638,0.19428277986990758,0.23276226734348562,0.15595976380522833,0.23281818895300233,0.03832301606467925,-5.592160951670144e-05,0.03837893767419595,False
temporal,purpose,home_improvement,7403,20936,0.054916768048425865,0.07144002702545921,0.14183439146292043,0.1996560947649981,0.15595976380522833,0.23281818895300233,-0.014125372342307901,-0.033162094188004226,0.019036721845696325,False
temporal,purpose,credit_card,32804,60653,0.2433458947805703,0.2069665628188373,0.13196561394951836,0.2046230194714194,0.15595976380522833,0.23281818895300233,-0.023994149855709968,-0.028195169481582932,0.004201019625872965,False
temporal,purpose,major_purchase,2298,7065,0.01704697189994362,0.02410793804618214,0.12924281984334204,0.21344656758669497,0.15595976380522833,0.23281818895300233,-0.026716943961886286,-0.01937162136630735,0.007345322595578935,False
temporal,purpose,small_business,1359,3215,0.010081303225423577,0.010970562040831647,0.257542310522443,0.3337480559875583,0.15595976380522833,0.23281818895300233,0.10158254671721464,0.10092986703455598,0.0006526796826586689,False
temporal,purpose,house,675,1445,0.005007269813952108,0.004930781383826355,0.1362962962962963,0.26505190311418686,0.15595976380522833,0.23281818895300233,-0.019663467508932025,0.032233714161184535,0.05189718167011656,False
temporal,purpose,moving,639,2263,0.004740215423874663,0.007722047246781343,0.1705790297339593,0.25894829871851527,0.15595976380522833,0.23281818895300233,0.014619265928730973,0.026130109765512943,0.01151084383678197,False
temporal,purpose,medical,889,3650,0.00659475979941248,0.012454914914163456,0.17885264341957255,0.2536986301369863,0.15595976380522833,0.23281818895300233,0.02289287961434422,0.020880441183983967,0.0020124384303602527,False
temporal,purpose,car,1050,3233,0.007789086377258835,0.011031983539038481,0.11714285714285715,0.1729044231364058,0.15595976380522833,0.23281818895300233,-0.038816906662371184,-0.05991376581659652,0.021096859154225336,False
temporal,purpose,vacation,565,2184,0.004191270288715469,0.007452475115762462,0.15575221238938053,0.22664835164835165,0.15595976380522833,0.23281818895300233,-0.0002075514158478009,-0.006169837304650677,0.005962285888802876,False
temporal,purpose,renewable_energy,51,209,0.00037832705260971484,0.0007131718402904555,0.11764705882352941,0.27751196172248804,0.15595976380522833,0.23281818895300233,-0.03831270498169892,0.04469377276948572,0.08300647775118464,True
temporal,purpose,wedding,595,1,0.004413815613780007,3.4123054559351933e-06,0.15294117647058825,0.0,0.15595976380522833,0.23281818895300233,-0.0030185873346400827,-0.23281818895300233,0.22979960161836224,True
temporal,home_ownership_n,MORTGAGE,72061,142774,0.5345612889825228,0.4871884991656913,0.1412553253493568,0.19679353383669296,0.15595976380522833,0.23281818895300233,-0.014704438455871521,-0.03602465511630937,0.021320216660437846,False
temporal,home_ownership_n,OWN,11248,35629,0.0834396605441975,0.12157703108951501,0.15753911806543386,0.23391057846136573,0.15595976380522833,0.23281818895300233,0.0015793542602055288,0.001092389508363406,0.00048696475184212273,False
temporal,home_ownership_n,RENT,51495,114591,0.3819990504732797,0.39101949450106976,0.17619186328769784,0.27735162447312617,0.15595976380522833,0.23281818895300233,0.020232099482469512,0.04453343552012384,0.02430133603765433,False
temporal,addr_state,TX,10291,25008,0.07634046467463873,0.08533493484202732,0.14303760567486154,0.23460492642354447,0.15595976380522833,0.23281818895300233,-0.01292215813036679,0.0017867374705421435,0.014708895600908933,False
temporal,addr_state,MI,3339,7780,0.024769294679683095,0.026547736447175806,0.16681641209943096,0.23483290488431877,0.15595976380522833,0.23281818895300233,0.010856648294202631,0.002014715931316441,0.00884193236288619,False
temporal,addr_state,CO,2952,6358,0.021898459986350552,0.02169543808883596,0.12059620596205962,0.1782006920415225,0.15595976380522833,0.23281818895300233,-0.035363557843168705,-0.054617496911479824,0.01925393906831112,False
temporal,addr_state,CA,21466,40863,0.1592385982611792,0.13943703784587982,0.1457188111432032,0.23373222719819886,0.15595976380522833,0.23281818895300233,-0.010240952662025127,0.0009140382451965356,0.011154990907221662,False
temporal,addr_state,NC,3826,8428,0.028381947123230764,0.02875891038262181,0.17015159435441715,0.23849074513526342,0.15595976380522833,0.23281818895300233,0.014191830549188822,0.00567255618226109,0.008519274366927732,False
temporal,addr_state,NY,11151,23198,0.08272009732648883,0.07915866196678462,0.1693121693121693,0.25821191482024314,0.15595976380522833,0.23281818895300233,0.013352405506940973,0.025393725867240813,0.01204132036029984,False
temporal,addr_state,NM,740,1575,0.005489451351591941,0.00537438109309793,0.1608108108108108,0.23809523809523808,0.15595976380522833,0.23281818895300233,0.004851047005582476,0.005277049142235757,0.0004260021366532807,False
temporal,addr_state,CT,2041,4175,0.015140500281890745,0.014246375278529433,0.1474767270945615,0.1932934131736527,0.15595976380522833,0.23281818895300233,-0.00848303671066683,-0.039524775779349625,0.031041739068682794,False
temporal,addr_state,FL,8857,21675,0.06570279813655382,0.07396172075739532,0.1726318166422039,0.24678200692041521,0.15595976380522833,0.23281818895300233,0.016672052836975565,0.01396381796741289,0.0027082348695626757,False
temporal,addr_state,MA,3031,6628,0.022484496009020503,0.022616760561938464,0.1530847904981854,0.2255582377791189,0.15595976380522833,0.23281818895300233,-0.0028749733070429218,-0.007259951173883422,0.0043849778668405,False
temporal,addr_state,OH,4345,9848,0.03223198124684727,0.033604384130049784,0.16939010356731876,0.2365962632006499,0.15595976380522833,0.23281818895300233,0.013430339762090432,0.0037780742476475615,0.00965226551444287,False
temporal,addr_state,IN,2276,5183,0.016883771994896293,0.01768597917811211,0.1735500878734622,0.24001543507621068,0.15595976380522833,0.23281818895300233,0.01759032406823388,0.007197246123208351,0.01039307794502553,False
temporal,addr_state,NJ,5112,10283,0.0379217233909973,0.035088737003381595,0.176056338028169,0.2471068754254595,0.15595976380522833,0.23281818895300233,0.020096574222940672,0.01428868647245718,0.0058078877504834925,False
temporal,addr_state,AZ,3077,7433,0.022825732174119463,0.02536366645396629,0.15144621384465387,0.22453921700524687,0.15595976380522833,0.23281818895300233,-0.004513549960574459,-0.008278971947755454,0.0037654219871809946,False
temporal,addr_state,PA,4599,9394,0.034116198332393696,0.032055197453055205,0.1643835616438356,0.2476048541622312,0.15595976380522833,0.23281818895300233,0.008423797838607278,0.014786665209228889,0.006362867370621611,False
temporal,addr_state,UT,1099,2135,0.008152577074864248,0.0072852721484216384,0.1437670609645132,0.19110070257611242,0.15595976380522833,0.23281818895300233,-0.012192702840715136,-0.041717486376889906,0.02952478353617477,False
temporal,addr_state,SC,1493,3523,0.011075339010711848,0.012021552121259686,0.12391158740790355,0.18762418393414704,0.15595976380522833,0.23281818895300233,-0.03204817639732478,-0.04519400501885529,0.013145828621530506,False
temporal,addr_state,DE,356,830,0.0026408711907658527,0.0028322135284262104,0.1601123595505618,0.21686746987951808,0.15595976380522833,0.23281818895300233,0.0041525957453334705,-0.01595071907348425,0.02010331481881772,False
temporal,addr_state,KY,1240,2863,0.009198540102667577,0.00976943052034246,0.16693548387096774,0.2451973454418442,0.15595976380522833,0.23281818895300233,0.010975720065739408,0.012379156488841886,0.0014034364231024776,False
temporal,addr_state,GA,4236,9566,0.03142339989911279,0.03264211399147606,0.13786591123701605,0.21806397658373405,0.15595976380522833,0.23281818895300233,-0.018093852568212276,-0.014754212369268271,0.003339640198944005,False
temporal,addr_state,WI,1686,3961,0.012507047268627045,0.013516141910959302,0.15243179122182682,0.19742489270386265,0.15595976380522833,0.23281818895300233,-0.003527972583401512,-0.03539329624913967,0.03186532366573816,False
temporal,addr_state,IL,5266,11142,0.039064122726328594,0.038019907390029924,0.14356247626281807,0.2239274816011488,0.15595976380522833,0.23281818895300233,-0.012397287542410262,-0.008890707351853516,0.003506580190556746,False
temporal,addr_state,MO,2112,4612,0.015667190884543485,0.015737552762773114,0.16098484848484848,0.242194275802255,0.15595976380522833,0.23281818895300233,0.005025084679620151,0.009376086849252674,0.004351002169632523,False
temporal,addr_state,WY,332,618,0.002462834930714222,0.0021088047717679496,0.12650602409638553,0.2168284789644013,0.15595976380522833,0.23281818895300233,-0.029453739708842797,-0.015989709988601025,0.013464029720241771,False
temporal,addr_state,TN,2046,4943,0.015177591169401502,0.01686702586868766,0.19208211143695014,0.2316407040258952,0.15595976380522833,0.23281818895300233,0.03612234763172181,-0.0011774849271071197,0.03729983255882893,False
temporal,addr_state,WA,3283,5868,0.024353876739562623,0.020023408415427716,0.1367651538227231,0.18473074301295161,0.15595976380522833,0.23281818895300233,-0.019194609982505217,-0.04808744594005071,0.028892835957545493,False
temporal,addr_state,VA,4097,7702,0.03039227322631376,0.02628157662161286,0.16329021235050037,0.2340950402492859,0.15595976380522833,0.23281818895300233,0.007330448545272039,0.0012768512962835765,0.006053597248988463,False
temporal,addr_state,MD,3105,6577,0.023033441144179698,0.022442732983685768,0.16264090177133655,0.2528508438497795,0.15595976380522833,0.23281818895300233,0.006681137966108225,0.02003265489677719,0.013351516930668966,False
temporal,addr_state,MN,2345,5159,0.01739562624254473,0.017604083847169664,0.14541577825159915,0.23570459391354914,0.15595976380522833,0.23281818895300233,-0.010543985553629176,0.002886404960546818,0.013430390514175994,False
temporal,addr_state,NH,640,1386,0.004747633601376814,0.004729455361926178,0.1140625,0.1738816738816739,0.15595976380522833,0.23281818895300233,-0.04189726380522833,-0.05893651507132844,0.017039251266100106,False
temporal,addr_state,NV,1976,4429,0.014658318744250913,0.015113100864336973,0.18522267206477733,0.24813727703770602,0.15595976380522833,0.23281818895300233,0.029262908259548998,0.015319088084703697,0.0139438201748453,False
temporal,addr_state,KS,1288,2336,0.009554612622770837,0.007971145545064612,0.1374223602484472,0.19006849315068494,0.15595976380522833,0.23281818895300233,-0.01853740355678113,-0.04274969580231738,0.024212292245536254,False
temporal,addr_state,AL,1644,3581,0.012195483813536691,0.012219465837703928,0.18491484184914841,0.27590058642837195,0.15595976380522833,0.23281818895300233,0.028955078043920085,0.04308239747536963,0.014127319431449542,False
temporal,addr_state,RI,555,1257,0.004117088513693956,0.004289267958110538,0.13873873873873874,0.2020684168655529,0.15595976380522833,0.23281818895300233,-0.017221025066489593,-0.030749772087449417,0.013528747020959825,False
temporal,addr_state,WV,692,563,0.00513337883148868,0.0019211279716915138,0.11849710982658959,0.19005328596802842,0.15595976380522833,0.23281818895300233,-0.03746265397863874,-0.0427649029849739,0.0053022490063351635,False
temporal,addr_state,LA,1614,3270,0.011972938488472152,0.011158238840908082,0.17472118959107807,0.27308868501529054,0.15595976380522833,0.23281818895300233,0.018761425785849745,0.04027049606228822,0.021509070276438474,False
temporal,addr_state,OR,1905,3290,0.014131628141598173,0.011226484950026787,0.13385826771653545,0.15835866261398177,0.15595976380522833,0.23281818895300233,-0.022101496088692885,-0.07445952633902056,0.052358030250327675,False
temporal,addr_state,VT,175,597,0.0012981810628764725,0.0020371463571933106,0.10285714285714286,0.1541038525963149,0.15595976380522833,0.23281818895300233,-0.053102620948085474,-0.07871433635668743,0.02561171540860195,False
temporal,addr_state,AR,998,2264,0.007403341147146969,0.007725459552237278,0.17234468937875752,0.28091872791519434,0.15595976380522833,0.23281818895300233,0.01638492557352919,0.04810053896219202,0.03171561338866283,False
temporal,addr_state,OK,1239,2785,0.009191121925165425,0.009503270694779515,0.1807909604519774,0.2682226211849192,0.15595976380522833,0.23281818895300233,0.02483119664674907,0.03540443223191686,0.01057323558516779,False
temporal,addr_state,HI,794,1380,0.005890032936708109,0.004708981529190567,0.1712846347607053,0.23550724637681159,0.15595976380522833,0.23281818895300233,0.015324870955476966,0.00268905742380926,0.012635813531667706,False
temporal,addr_state,MT,407,803,0.0030191982433755674,0.0027400812811159605,0.11056511056511056,0.18804483188044832,0.15595976380522833,0.23281818895300233,-0.045394653240117766,-0.044773357072554004,0.0006212961675637618,False
temporal,addr_state,SD,287,605,0.002129016943117415,0.002064444800840792,0.18118466898954705,0.23140495867768596,0.15595976380522833,0.23281818895300233,0.02522490518431872,-0.0014132302753163684,0.026638135459635087,False
temporal,addr_state,AK,389,679,0.0028856710483368448,0.0023169554045799966,0.13881748071979436,0.23122238586156113,0.15595976380522833,0.23281818895300233,-0.017142283085433974,-0.0015958030914411947,0.015546479993992779,False
temporal,addr_state,DC,395,684,0.0029301801133497524,0.0023340169318596723,0.10886075949367088,0.14619883040935672,0.15595976380522833,0.23281818895300233,-0.047099004311557446,-0.08661935854364561,0.03952035423208816,False
temporal,addr_state,NE,2,1455,1.4836355004302542e-05,0.004964904438385706,0.5,0.2542955326460481,0.15595976380522833,0.23281818895300233,0.34404023619477164,0.02147734369304577,0.3225628925017259,True
temporal,addr_state,IA,1,0,7.418177502151271e-06,0.0,1.0,,0.15595976380522833,0.23281818895300233,0.8440402361947716,,,True
temporal,addr_state,MS,2,1872,1.4836355004302542e-05,0.006387835813510682,0.5,0.27350427350427353,0.15595976380522833,0.23281818895300233,0.34404023619477164,0.04068608455127121,0.30335415164350044,True
temporal,addr_state,ID,2,861,1.4836355004302542e-05,0.0029379949975602017,0.0,0.2067363530778165,0.15595976380522833,0.23281818895300233,-0.15595976380522833,-0.026081835875185838,0.1298779279300425,True
temporal,zip_code,782xx,446,1363,0.003308507165959467,0.004650972336439668,0.1412556053811659,0.2553191489361702,0.15595976380522833,0.23281818895300233,-0.014704158424062419,0.022500959983167867,0.037205118407230287,False
temporal,zip_code,481xx,661,1605,0.004903415328921991,0.005476750256775986,0.16944024205748864,0.24174454828660435,0.15595976380522833,0.23281818895300233,0.013480478252260314,0.00892635933360203,0.004554118918658284,False
