comparison,feature,n_reference_categories,weighted_mean_abs_risk_diff_change,max_abs_risk_diff_change
temporal,emp_length,12,0.009809730415539997,0.040661332809790535
temporal,purpose,13,0.00872441851040613,0.22979960161836224
temporal,home_ownership_n,3,0.020720681964597056,0.02430133603765433
temporal,addr_state,49,0.012164883320918963,0.3225628925017259
temporal,zip_code,834,0.028302095435786573,0.923141574852226
cross_segment,emp_length,12,0.004983898164349043,0.012321783574111206
cross_segment,home_ownership_n,3,0.002206466822040594,0.012226240898750573
cross_segment,addr_state,48,0.009063774052496112,0.046751744645030874
cross_segment,zip_code,826,0.04546966387755194,1.0316750339161462
temporal_noise_baseline,emp_length,12,0.004410746124837674,0.012606439089936278
temporal_noise_baseline,purpose,13,0.004497249687816317,0.13509316770186336
temporal_noise_baseline,home_ownership_n,3,0.00029385036917994965,0.0010987003930368056
temporal_noise_baseline,addr_state,48,0.008891353637166973,1.0
temporal_noise_baseline,zip_code,824,0.03748826063233675,1.0
cross_segment_noise_baseline,emp_length,12,0.00566796166890944,0.02452149474741641
cross_segment_noise_baseline,home_ownership_n,3,0.0026168234242093177,0.008010853429610137
cross_segment_noise_baseline,addr_state,46,0.01268092882151743,0.08376100446834697
cross_segment_noise_baseline,zip_code,810,0.05099117887308444,1.0000248034327952
