comparison,feature,spearman_A,spearman_B,delta_abs_spearman,auc_strength_A,auc_strength_B,delta_abs_auc_strength
temporal,revenue,-0.07363357721715952,-0.07709674399916015,0.0034631667820006345,0.5585780207949572,0.5526537739062702,0.005924246888686979
temporal,dti_n,0.08501400540186352,0.11453246324830127,0.02951845784643775,0.5676413025731518,0.5782312645318959,0.010589961958744065
temporal,loan_amnt,0.05080744160449879,0.06373522817708854,0.01292778657258975,0.5404042677422557,0.543508730489882,0.0031044627476263242
temporal,fico_n,-0.10251197752887019,-0.141892064848171,0.0393800873193008,0.5813838991114926,0.5966995370223074,0.015315637910814806
temporal,experience_c,,,,0.5,0.5,0.0
cross_segment,revenue,-0.07054532933856583,-0.08500999378676702,0.014464664448201187,0.5550389963796512,0.5724964594499273,0.01745746307027618
cross_segment,dti_n,0.08756396063150358,0.08705262612421084,0.0005113345072927378,0.5683270521692064,0.574249298937622,0.005922246768415573
cross_segment,loan_amnt,0.04940161848703297,0.04514239714544273,0.004259221341590243,0.5385289526182113,0.5384769763347463,5.197628346498284e-05
cross_segment,fico_n,-0.10252356877961484,-0.10326279925063929,0.000739230471024449,0.579816350504753,0.5878696323121257,0.008053281807372747
cross_segment,experience_c,,,,0.5,0.5,0.0
temporal_noise_baseline,revenue,-0.07450260975447928,-0.07276304882731689,0.0017395609271623896,0.5592693803069451,0.5578854560711972,0.0013839242357478465
temporal_noise_baseline,dti_n,0.08337395572552367,0.08663506226009801,0.003261106534574343,0.5663363985091794,0.5689310944603768,0.0025946959511974343
temporal_noise_baseline,loan_amnt,0.047876586803588424,0.0537274284041253,0.00585084160053688,0.5380734985377265,0.542726381829015,0.004652883291288545
temporal_noise_baseline,fico_n,-0.10591788019423208,-0.09911372142874553,0.006804158765486554,0.5840874673225828,0.5786863494345278,0.005401117888054974
temporal_noise_baseline,experience_c,,,,0.5,0.5,0.0
cross_segment_noise_baseline,revenue,-0.0668826835235846,-0.074196709097733,0.007314025574148397,0.5521831834844948,0.557885796346876,0.005702612862381162
cross_segment_noise_baseline,dti_n,0.08205263998610589,0.09307525495456423,0.011022614968458341,0.5640284635472719,0.5726253573825887,0.00859689383531681
cross_segment_noise_baseline,loan_amnt,0.05069958936441013,0.04808979808056641,0.0026097912838437196,0.5395422714519756,0.5375048675607699,0.002037403891205769
cross_segment_noise_baseline,fico_n,-0.10357438307225524,-0.10147763423044384,0.002096748841811394,0.5806359261219244,0.5790002944201726,0.0016356317017517386
cross_segment_noise_baseline,experience_c,,,,0.5,0.5,0.0
