comparison,model,seed,target_test_n,target_test_default_rate,source_train_n,oracle_train_n,source_auroc,oracle_auroc,oracle_gap_auroc,source_ap,oracle_ap,oracle_gap_ap,source_brier,oracle_brier,oracle_gap_brier,source_segment,target_segment
temporal,logreg,0,58612,0.23281921790759572,134804,234445,0.6552247833494258,0.6635681872594879,0.008343403910062053,0.3515421809067491,0.3600436190389305,0.008501438132181405,0.17461425861184596,0.16809437341678807,0.0065198851950578895,,
temporal,hgb,0,58612,0.23281921790759572,134804,234445,0.6621486485833721,0.672586121691932,0.010437473108559914,0.3596759726545336,0.3712365550859301,0.011560582431396516,0.17481975870107916,0.16664198570447084,0.008177772996608323,,
temporal,rf,0,58612,0.23281921790759572,134804,234445,0.6268659896298674,0.6432651234545549,0.016399133824687495,0.31988321043580825,0.33829564707146514,0.018412436635656892,0.1792036295184149,0.17129950351463866,0.00790412600377624,,
temporal,rf,1,58612,0.23281921790759572,134804,234445,0.625448396012845,0.640678313014509,0.015229917001663984,0.3180168705283543,0.3360897811179061,0.018072910589551794,0.1793192345898072,0.17164330721050675,0.007675927379300451,,
temporal,rf,2,58612,0.23281921790759572,134804,234445,0.6261663827570302,0.6424542505641193,0.01628786780708913,0.32059256721796137,0.33731018331847185,0.01671761610051048,0.17920823608362335,0.1714365924308257,0.007771643652797644,,
cross_segment,logreg,0,6561,0.13199207437890564,80634,26243,0.6155665092551101,0.6082986777834777,-0.007267831471632458,0.1897094841386895,0.18657208030868905,-0.0031374038300004403,0.11374621175212293,0.11371328733890644,3.292441321649242e-05,debt_consolidation,credit_card
cross_segment,hgb,0,6561,0.13199207437890564,80634,26243,0.6359267377282856,0.6420168212057495,0.006090083477463981,0.20692610490377217,0.20781850292462453,0.0008923980208523641,0.11218697682432993,0.11124819248158561,0.0009387843427443171,debt_consolidation,credit_card
cross_segment,rf,0,6561,0.13199207437890564,80634,26243,0.5998067670072407,0.5967210206270643,-0.003085746380176335,0.1837759302960783,0.17504522380369275,-0.008730706492385554,0.11494107774898812,0.11487369134108961,6.738640789850925e-05,debt_consolidation,credit_card
cross_segment,rf,1,6561,0.13199207437890564,80634,26243,0.5991272073270383,0.5938892347121884,-0.005237972614849928,0.1811135184218287,0.17493404440382798,-0.00617947401800073,0.11513316906298159,0.11494544192111636,0.00018772714186522654,debt_consolidation,credit_card
cross_segment,rf,2,6561,0.13199207437890564,80634,26243,0.5979645651649375,0.598331363154341,0.00036679798940353336,0.1853324179307993,0.17655370392695702,-0.00877871400384228,0.11502628494978746,0.11479908042473201,0.0002272045250554522,debt_consolidation,credit_card
